,relation_type,mean_correct,std_correct,median_correct,iqr_correct,mean_similar,std_similar,median_similar,iqr_similar,median_overlap,iqr_overlap,model_type
0,causal_overlap,4.629545455,0.711702775,5,1,3.732954545,1.118794003,4,2,0,1,
1,context-dependent polysemy,4.720833333,0.68546119,5,0,2.083333333,1.390844741,1,2,0,0,
2,contextual implication,4.579166667,0.793529886,5,1,1.816666667,0.919189504,2,1,0,0,
3,extension,4.646428571,0.737438463,5,0,2.619642857,1.599409511,2,3,0,0,
4,extension_overlap,4.80625,0.609122216,5,0,3.7375,1.477238202,4,2,0,1,
5,subcategories,4.515625,1.028425229,5,0,3.771875,1.511921199,4,2,0,1,
0,causal_overlap,4.909090909,0.288795491,5,0,3.745454545,1.295272729,4,2,0,1,GEMINI
1,context-dependent polysemy,5,0,5,0,1.566666667,0.858359837,1,1,0,0,GEMINI
2,contextual implication,5,0,5,0,1.366666667,0.6149479,1,1,0,0,GEMINI
3,extension,5,0,5,0,3.028571429,1.78537885,4,4,0,1,GEMINI
4,extension_overlap,5,0,5,0,5,0,5,0,1,1,GEMINI
5,subcategories,4,1.742978681,5,1,3.9375,1.723579951,5,1.75,1,1,GEMINI
6,causal_overlap,4.772727273,0.518627174,5,0,3.245454545,1.485009892,3,3,0,1,GPT
7,context-dependent polysemy,5,0,5,0,2,1.531282987,1,2,0,0,GPT
8,contextual implication,5,0,5,0,1.766666667,1.194335289,1,1.75,0,0,GPT
9,extension,4.942857143,0.233791328,5,0,2.042857143,1.680542651,1,3,0,0,GPT
10,extension_overlap,5,0,5,0,4.9,0.307793506,5,0,1,1,GPT
11,subcategories,4.4875,1.331162526,5,0,3.9375,1.723579951,5,1.75,1,1,GPT
12,causal_overlap,4.559090909,0.771942994,5,1,3.812121212,0.990626042,4,2,0,1,Human
13,context-dependent polysemy,4.627777778,0.76975332,5,0,2.183333333,1.423957033,1.5,2,0,0,Human
14,contextual implication,4.438888889,0.872701379,5,1,1.9,0.89129872,2,1,0,0,Human
15,extension,4.538095238,0.818040146,5,1,2.647619048,1.529228064,2,3,0,1,Human
16,extension_overlap,4.741666667,0.692041595,5,0,3.333333333,1.496962377,4,3,0,1,Human
17,subcategories,4.60625,0.751590172,5,1,3.716666667,1.434343642,4,2,0,1,Human
